Date,Open,High,Low,Close,Volume,Currency,USD-BRL,USD-CLP,USD-EUR,Volume_USD-BRL,Volume_USD-CLP,Volume_USD-EUR
3/12/2020,109.23,110.5,107.43,109.15,0,USD,4.791703,851.498173,0.89416,0,0,0
3/13/2020,111.15,111.35,107.5,107.05,62,USD,4.859604,839.000361,0.897545,301.295448,52018.02238,55.64779
3/16/2020,107.05,107.05,104.85,103.9,4,USD,5.0005,853.301488,0.896024,20.002,3413.205952,3.584096
3/17/2020,104.4,104.4,102.8,102.9,13,USD,5.011201,848.300226,0.90789,65.145613,11027.90294,11.80257
3/18/2020,108.2,108.2,108.2,108.05,18,USD,5.107612,868.000275,0.91234,91.937016,15624.00495,16.42212
3/19/2020,114.15,114.15,111.5,116.65,37,USD,5.095701,862.303002,0.938435,188.540937,31905.21107,34.722095
3/20/2020,114,120.05,114,119.7,24832,USD,5.063904,863.303912,0.929152,125746.8641,21437562.74,23072.70246
3/23/2020,120.65,124.9,116.6,121.25,26987,USD,5.143198,860.70163,0.929015,138799.4844,23227754.89,25071.32781
3/24/2020,121.45,126.05,120.8,125.6,21152,USD,5.099601,845.404586,0.92574,107866.7604,17881997.8,19581.25248
3/25/2020,126.2,130.4,122.35,129.95,25571,USD,5.035197,846.847361,0.91835,128755.0225,21654733.87,23483.12785
3/26/2020,128.4,130.65,124.05,124.65,17978,USD,5.024098,829.403045,0.90516,90323.23384,14911007.94,16272.96648
3/27/2020,123.35,123.35,115.65,115.85,19516,USD,5.100504,830.603912,0.895504,99541.43606,16210065.95,17476.65606
3/30/2020,116.2,120.85,116.2,119.3,14430,USD,5.194203,859.701015,0.90665,74952.34929,12405485.65,13082.9595
3/31/2020,118.65,120.4,116.4,119.55,14185,USD,5.204986,856.697052,0.906935,73832.72641,12152247.68,12864.87298
4/1/2020,117.75,119,114.1,116,17245,USD,5.249706,865.897378,0.91299,90531.17997,14932400.28,15744.51255
4/2/2020,116.85,120.1,116.6,119.35,17216,USD,5.256797,862.9008,0.921945,90501.01715,14855700.17,15872.20512
4/3/2020,118.55,119.2,114.3,114.9,15077,USD,5.346768,865.503912,0.925555,80613.22114,13049202.48,13954.59274
4/6/2020,114.85,117.8,112.4,116.65,18789,USD,5.286805,850.601015,0.925799,99333.77915,15981942.47,17394.83741
4/7/2020,117.05,120.9,117,119.9,22940,USD,5.223199,859.430108,0.91789,119820.1851,19715326.68,21056.3966
4/8/2020,120,120.75,118.05,119.8,20568,USD,5.124975,844.603454,0.920705,105410.4858,17371803.84,18937.06044
4/9/2020,120,122,116.9,118.6,21970,USD,5.107301,842.298726,0.915265,112207.403,18505303.01,20108.37205
4/13/2020,118.95,120.6,116.6,119.75,14231,USD,5.201445,850.200846,0.915701,74021.76379,12099208.24,13031.34093
4/14/2020,119.9,120.35,115.75,117.2,14615,USD,5.163503,849.557375,0.91035,75464.59635,12416281.04,13304.76525
4/15/2020,117,121.2,114.6,120.2,9063,USD,5.238496,857.130108,0.917027,47476.48925,7768170.169,8311.015701
4/16/2020,119.85,120.85,117.9,118.6,7041,USD,5.232403,852.701917,0.92099,36841.34952,6003874.198,6484.69059
4/17/2020,118.3,119.6,115.7,116.05,10691,USD,5.234204,853.303912,0.91954,55958.87496,9122672.123,9830.80214
4/20/2020,116.3,116.75,113.05,113.65,5968,USD,5.316904,857.700258,0.920425,31731.28307,5118755.14,5493.0964
4/21/2020,113,113.55,109.35,109.65,8794,USD,5.316505,858.797786,0.92117,46753.34497,7552267.73,8100.76898
4/22/2020,109.65,112.1,109.65,110.6,124,USD,5.458402,858.799227,0.925303,676.841848,106491.1041,114.737572
4/23/2020,112,113.6,110.65,111.05,39,USD,5.534596,860.398439,0.928096,215.849244,33555.53912,36.195744
4/24/2020,109.45,109.45,105,105.2,35,USD,5.59345,857.403912,0.923788,195.77075,30009.13692,32.33258
4/27/2020,107,107,104.3,104.6,32,USD,5.654102,857.60548,0.924034,180.931264,27443.37536,29.569088
4/28/2020,106.65,108.95,105.95,105.7,0,USD,5.498898,844.697792,0.92298,0,0,0
4/29/2020,104.05,104.1,103.5,103.65,16,USD,5.3363,834.599723,0.919385,85.3808,13353.59557,14.71016
4/30/2020,103.75,104.1,102.65,104.65,14,USD,5.487498,835.097666,0.91366,76.824972,11691.36732,12.79124
5/1/2020,104.25,104.25,103.7,104.45,2,USD,5.487304,834.703912,0.901429,10.974608,1669.407824,1.802858
5/4/2020,103.9,103.9,103.4,105.55,2,USD,5.542098,838.198488,0.91712,11.084196,1676.396976,1.83424
5/5/2020,108.3,108.3,108.3,108.85,49,USD,5.579596,835.202101,0.92266,273.400204,40924.90295,45.21034
5/6/2020,107.8,109.15,107.75,109.35,6,USD,5.7167,843.102072,0.926085,34.3002,5058.612432,5.55651
5/7/2020,107,107,104.6,107.45,4,USD,5.832411,838.501861,0.92278,23.329644,3354.007444,3.69112
5/8/2020,108.25,109.4,108.25,110.1,2,USD,5.732404,825.803912,0.911536,11.464808,1651.607824,1.823072
5/11/2020,108.2,108.2,108.2,108.95,10,USD,5.818599,823.999764,0.925155,58.18599,8239.99764,9.25155
5/12/2020,107.75,107.75,107.75,105.6,1,USD,5.886297,825.000115,0.92197,5.886297,825.000115,0.92197
5/13/2020,104.5,104.5,103.65,103.55,57,USD,5.887898,817.295264,0.924103,335.610186,46585.83005,52.673871
5/14/2020,105.35,105.35,105.35,104.9,4,USD,5.811012,822.298339,0.92536,23.244048,3289.193356,3.70144
5/15/2020,105,105,105,104.8,1,USD,5.856671,827.703912,0.924078,5.856671,827.703912,0.924078
5/18/2020,106.65,108.08,105.03,105.7,0,USD,5.720502,819.500729,0.916196,0,0,0
5/19/2020,107.5,108.7,106.3,107.05,11518,USD,5.7567,819.302091,0.915303,66305.6706,9436721.484,10542.45995
5/20/2020,106.75,107.65,105.3,105.65,12399,USD,5.691973,803.906901,0.9107,70574.77323,9967641.665,11291.7693
5/21/2020,105.75,106.75,104.2,104.75,19211,USD,5.553897,804.695805,0.913201,106695.9153,15459011.11,17543.50441
5/22/2020,104.75,105.15,102.35,103.6,18541,USD,5.530204,808.503912,0.917389,102535.5124,14990471.03,17009.30945
5/26/2020,104.65,107.1,104.2,105.1,18345,USD,5.345498,807.187415,0.910802,98063.16081,14807853.13,16708.66269
5/27/2020,105.15,106,101.45,102.5,20950,USD,5.274302,820.404675,0.90773,110496.6269,17187477.94,19016.9435
5/28/2020,102.3,102.55,98.55,99.1,21073,USD,5.405096,808.598106,0.90263,113901.588,17039587.89,19021.12199
5/29/2020,99.2,100.05,95.85,96.3,23795,USD,5.334904,799.000361,0.900495,126944.0407,19012213.59,21427.27853
6/1/2020,95.85,99,94.8,98.3,26971,USD,5.368,792.81272,0.89883,144780.328,21382951.87,24242.34393
6/2/2020,98.45,99.7,97.35,98.2,17761,USD,5.200795,777.302334,0.89385,92371.32,13805666.75,15875.66985
6/3/2020,98.5,100.75,97.9,99.1,16879,USD,5.0631,785.705338,0.890099,85460.0649,13261920.4,15023.98102
6/4/2020,98.9,98.95,96.25,98.15,13953,USD,5.118701,770.898739,0.882101,71421.23505,10756350.11,12307.95525
